,Country Name En,Unit Name,2022,2021,2020,2019,INDEX
0,Afghanistan,Tonnes - live weight,2000,1800,2000,2100,95
1,Albania,Tonnes - live weight,8739.5,9641.5,7627.165,8711.5,100
2,Algeria,Tonnes - live weight,80790,79200.005,71518.724,100553.083,80
3,American Samoa,Tonnes - live weight,1311.094,1195.001,871.198,1434.86,91
4,Andorra,Tonnes - live weight,0,0,0,0,#DIV/0!
5,Angola,Tonnes - live weight,469336,528714,374453,399762,117
6,Anguilla,Tonnes - live weight,840,755,835,758,111
7,Antigua and Barbuda,Tonnes - live weight,3230,3205,3115,3165,102
9,Argentina,Tonnes - live weight,847752.718,852565.782,837589.518,826095,103
10,Armenia,Tonnes - live weight,999.999,769.999,750,710,141
11,Aruba,Tonnes - live weight,172,165,160,163,106
13,"Ascension, Saint Helena and Tristan da Cunha",Tonnes - live weight,494.68,514.896,510.076,769.416,64
15,Australia,Tonnes - live weight,165059.213,160776.584,176495.736,166127.587,99
16,Austria,Tonnes - live weight,350,350,350,350,100
17,Azerbaijan,Tonnes - live weight,1790,1464,2089,1177,152
19,Bahamas,Tonnes - live weight,9345.212,8704.851,7433.142,10145.915,92
20,Bahrain,Tonnes - live weight,19836.587,17000.005,17202.011,18279.993,109
22,Bangladesh,Tonnes - live weight,2027661,1982483,1919505.001,1895619,107
23,Barbados,Tonnes - live weight,851.543,846.567,1033.76,874.731,97
24,Belarus,Tonnes - live weight,356,611.231,939.054,662,54
26,Belgium,Tonnes - live weight,18710,17937,19953.8,21350,88
27,Belize,Tonnes - live weight,204764.256,191504.127,186909.895,213986.359,96
28,Benin,Tonnes - live weight,76105,74615,73965,73484.9,104
29,Bermuda,Tonnes - live weight,392,419,358.48,374,105
30,Bhutan,Tonnes - live weight,9,1.1,0.5,0.5,1800
32,Bolivia (Plurinational State of),Tonnes - live weight,7800,7600,7500,7900,99
33,"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,265,265,250,265,100
34,Bosnia and Herzegovina,Tonnes - live weight,305,305,305,305,100
36,Botswana,Tonnes - live weight,38,38,33,38,100
38,Brazil,Tonnes - live weight,758512,768912.556,730845.922,734278.778,103
39,British Indian Ocean Territory,Tonnes - live weight,0,0,0,0,#DIV/0!
40,British Virgin Islands,Tonnes - live weight,1134.438,1133.19,1121,1192,95
42,Brunei Darussalam,Tonnes - live weight,16060,15295.003,13091.04,13690.42,117
43,Bulgaria,Tonnes - live weight,5594.378,9009.27,6295.807,10329.65,54
44,Burkina Faso,Tonnes - live weight,30044,29731,29104,27803,108
45,Burundi,Tonnes - live weight,19935,19550,19589,20372,98
46,Cabo Verde,Tonnes - live weight,7758.94,11623.868,19485.246,17190.317,45
48,Cambodia,Tonnes - live weight,533450,508050,535900,601100,89
49,Cameroon,Tonnes - live weight,299035,290330,281630,296953.828,101
51,Canada,Tonnes - live weight,704176.878,754137.173,765345.976,853387.643,83
52,Cayman Islands,Tonnes - live weight,125,125,125,125,100
53,Central African Republic,Tonnes - live weight,29000,28000,27500,29000,100
54,Chad,Tonnes - live weight,107000,103000,105000,107000,100
55,Channel Islands,Tonnes - live weight,2290,2187.512,2073.375,3050,75
57,Chile,Tonnes - live weight,2690091.465,2391196.602,2183235.138,2380299.998,113
58,China,Tonnes - live weight,13179077,13142837,13445983,14169893.45,93
59,"China, Hong Kong SAR",Tonnes - live weight,77199.998,115178.999,119428,122929,63
60,"China, Macao SAR",Tonnes - live weight,1500,1500,1500,1500,100
