Country Name En,Unit Name,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag
Afghanistan,Tonnes - live weight,2000,E,1800,E,2000,E,2100,E,2050,E,2000,E,1900,E,1750,E,1600,E,1450,E,1300,E,1150,E,1000,E,1000,E,1000,E,1000,E,1000,E,1000,E,1000,E,900,E,900,E,800,E,1000,E
Albania,Tonnes - live weight,8739.5,A,9641.5,A,7627.165,A,8711.5,A,8648.3,A,8563.2,A,7862.09,A,7855.1,A,8705.05,A,8973.094,A,8605.2,A,4805.2,A,5132.2,A,5811,A,5365,A,5413.4,A,5652.3,A,5000,A,4549.5,A,2801.6,E,3656.8,A,3311.2,A,3328,A
Algeria,Tonnes - live weight,80790,E,79200.005,A,71518.724,A,100553.083,A,115058,A,103875.291,A,100004.88,A,95798.89,A,97683.17,A,100973.13,A,105543.407,A,101814.86,A,93464,A,127777,A,138862.43,A,147363.131,A,145763.8,A,126260.3,A,113464.2,A,140959,A,134324.8,A,133628,A,113159.9,A
American Samoa,Tonnes - live weight,1311.094,A,1195.001,A,871.198,A,1434.86,A,2028.497,A,2317.902,A,2252.315,A,4357.956,A,2426.72,A,2841.457,A,4371.981,A,3587.094,A,5122.816,A,4944,A,4424,A,6519,A,5349,A,4019,A,4041,A,5089,A,6939,A,3667,A,846,A
Andorra,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Angola,Tonnes - live weight,469336,A,528714,A,374453,A,399762,A,443066,A,531575,A,486490,A,495232,A,442084,A,407000,E,374000,E,342000,E,310000,E,272042,A,305860,A,306436,A,225741,A,202616,E,240002,A,212033,A,255443,A,254553,A,239351,A
Anguilla,Tonnes - live weight,840,E,755,E,835,A,758,A,758,A,758,A,684,A,780,A,876,A,788,A,981,A,884,A,620,A,617,A,739,A,713,E,688,E,663,E,638,E,613,E,588,E,563,E,538,E
Antigua and Barbuda,Tonnes - live weight,3230,E,3205,E,3115,E,3165,E,3165,E,3165,E,3165,E,3165,A,3114,A,4605,A,5951,A,3055,A,2219,A,2416,A,3389,A,3042,A,3044,A,2948,A,2473,A,2541,A,2343,A,1797,A,1723,A
Argentina,Number,2,A,1339,A,22333,A,28547,A,2822,A,14207,A,15926,A,21550,A,23501,A,19600,A,24500,A,22680,A,6413,A,10658,A,4866,A,7209,A,4636,A,4072,A,1132,A,1083,A,350,A,201,A,489,A
Argentina,Tonnes - live weight,847752.718,A,852565.782,A,837589.518,A,826095,A,835387,A,835061,A,755226,A,814300,A,829935,A,870705,A,738060,A,793308,A,811749,A,861974,A,995083,A,985409,A,1171980,A,929937,A,944846,A,910200,A,946185,A,931081,A,921800,A
Armenia,Tonnes - live weight,999.999,E,769.999,E,750,E,710,E,369,E,364,E,3758,E,8140,E,4795,A,4099,E,861,A,795,E,617,E,619,E,601,E,1065,E,350,E,250,E,218,A,569,A,465,A,866,A,1133,A
Aruba,Tonnes - live weight,172,E,165,E,160,E,163,A,149,A,149,A,150,A,150,A,152,A,145,A,138,A,166,A,153,A,163,A,151,A,159,A,145,A,162,E,162,A,160,E,163,E,163,A,163,A
"Ascension, Saint Helena and Tristan da Cunha",Number,,,,,,,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A,0,A
