Country Name En,Unit Name,2023,2023 Flag,2022,2022 Flag,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag
Afghanistan,Tonnes - live weight,2000,E,2000,E,1800,E,2000,E,2100,E,2050,E,2000,E,1900,E,1750,E,1600,E,1450,E,1300,E,1150,E,1000,E
Albania,Tonnes - live weight,10011,A,8891.5,E,9843.5,E,7810.5,E,8712.5,E,8630.3,A,8563.2,A,7862.09,A,7855.1,A,8705.05,A,8973.094,A,8605.2,A,4805.2,N,5132.2,E
Algeria,Tonnes - live weight,77110,E,80790,E,79200.005,N,71518.724,N,100553.083,N,115058,N,103875.291,N,100004.88,N,95798.89,N,97683.17,N,100973.13,N,105543.407,N,101814.86,N,93464,N
American Samoa,Tonnes - live weight,1209.031,A,1387.767,N,1196.859,N,946.395,N,1435.01,N,2028.332,N,2318.28,N,2203.455,N,2570.546,N,2341.944,N,2753.938,N,4371.981,N,3587.094,N,5122.815,N
Andorra,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Angola,Tonnes - live weight,548231.905,A,539289.4,A,568544,E,374730,E,401013,E,443066,E,531575,E,486490,E,495232,E,442084,A,407000,E,374000,E,342000,E,310000,E
Anguilla,Tonnes - live weight,1075,E,840,E,755,E,835,A,758,A,758,A,758,N,684,N,780,N,876,N,788,N,981,N,884,N,620,N
Antigua and Barbuda,Tonnes - live weight,3265,N,3230,N,3205,N,3115,N,3165,N,3165,N,3165,N,3165,N,3165,N,3114,N,4605,N,5951,N,3055,N,2219,N
Argentina,Tonnes - live weight,827232.951,A,847752.718,A,852565.782,A,837589.518,A,826095,N,835387,N,835061,N,755226,N,814300,N,829935,N,870705,N,738060,N,793308,N,811749,N
Armenia,Tonnes - live weight,1099.999,E,999.999,E,769.999,E,750,E,710,E,369,E,364,E,3758,E,8140,E,4795,A,4099,E,861,A,795,E,617,E
Aruba,Tonnes - live weight,170,E,172,E,165,E,160,E,163,A,149,A,149,A,150,A,150,A,152,A,145,A,138,A,166,A,153,A
"Ascension, Saint Helena and Tristan da Cunha",Tonnes - live weight,248.196,E,205.232,E,224.896,E,220.076,E,769.416,A,809.152,N,814.11,A,889.57,N,612.916,N,650.83,N,573.92,N,678.37,N,1302,N,864,N
Australia,Tonnes - live weight,182204.647,E,165599.213,E,161316.583,E,177035.317,E,166908.515,E,171897.689,E,165366.029,E,173243.485,E,152408.822,E,151291.933,E,159328.375,E,166872.317,N,176324.689,N,180130.386,N
Austria,Tonnes - live weight,350,E,350,E,350,E,350,E,350,E,350,A,350,A,350,A,350,A,350,A,350,A,300,A,350,A,350,A
Azerbaijan,Tonnes - live weight,63038.3,A,56589.65,A,56159.9,A,57781.25,A,59506.6,A,58403.75,A,60009,A,59421.9,A,48160.8,A,47267.6,A,48093.1,A,54415.95,A,44286,A,42699.55,A
Bahamas,Tonnes - live weight,8699.373,A,9345.212,A,8704.851,A,7433.142,A,10145.915,N,10998.694,N,11479.94,N,11625,N,11307.29,N,11878.22,N,12765,N,16756.829,N,15313,N,16342.44,N
Bahrain,Tonnes - live weight,17998,N,19836.587,N,17000.005,N,17202.011,N,18279.993,N,21071.043,N,18499.993,N,17300.005,N,16500.005,N,18384,N,19274,N,27091,N,9915,A,13490,N
Bangladesh,Tonnes - live weight,2062668,E,2027660.999,E,1982483,E,1919505,E,1895619,E,1871225,E,1801084,E,1674770,E,1623837,E,1592174,E,1550446,E,1535715,E,1600918,A,1726586,A
Barbados,Tonnes - live weight,898.573,E,855.577,E,846.667,N,1033.833,N,875.164,N,1732.046,N,1740.344,N,1736.082,N,1499.876,N,2206.588,N,2975.883,N,1360.627,N,1817.89,N,3280,N
Belarus,Tonnes - live weight,553.803,A,356,A,611.231,A,939.054,A,662,A,800.4,A,773.3,N,688.3,A,869,N,766,N,697,N,965,A,1122,A,897,N
Belgium,Tonnes - live weight,17986,E,18710,E,17937,E,19953.8,E,21350,E,23005,N,24649,N,26970,N,24721,N,26793,N,25662,E,24659,N,22477,N,22418,N
Belize,Tonnes - live weight,197659.508,E,203114.256,E,189804.64,E,185409.895,E,212594.099,E,215374.026,E,120927.059,N,91424.505,N,97524.239,N,76201.203,N,34703.607,N,171943.243,N,277494.308,N,399928,N
Benin,Tonnes - live weight,52100.334,E,63481.953,E,69445,E,66850,E,69748,E,57629.2,E,59418.7,A,49806,A,36477,A,47583,A,42416,A,40364,N,38848,A,39791,N
Bermuda,Tonnes - live weight,395,N,392,A,419,A,358.48,A,374,N,354,N,380,N,410,N,407,N,417,N,461,N,516,N,478,N,375,N
Bhutan,Tonnes - live weight,9,E,9,A,1.1,A,0.5,A,0.5,A,0,A,16,N,12,N,7,N,5,E,3,A,2,A,4,E,6,E
Bolivia (Plurinational State of),Tonnes - live weight,7850,E,7800,E,7600,E,7500,E,7900,E,7400,E,7000,E,7000,E,7000,E,6990,A,7171,A,6820,A,6677,A,6946,A
"Bonaire, Sint Eustatius and Saba",Tonnes - live weight,265,E,265,E,265,E,250,E,265,E,261,E,261,A,263,E,305,E,259,A,236,A,210,A,161,E,,
Bosnia and Herzegovina,Tonnes - live weight,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E,305,E
Botswana,Tonnes - live weight,40,E,39,E,38,E,33,E,38,E,38,E,38,E,38,A,81,A,1168,A,431,A,378,A,234,A,60,A
Brazil,Tonnes - live weight,778792,E,770733,E,768912.556,E,730845.922,N,734278.778,N,725398.373,N,732531.009,N,726606.967,N,709154.194,N,773293.416,N,770017.557,N,818590.486,N,760696,N,785369,N
British Indian Ocean Territory [former],Tonnes - live weight,,,,,,,,,,,10,N,15,N,7,N,12,N,9,N,11,N,9,N,34,N,40,N
British Virgin Islands,Tonnes - live weight,1126.541,N,1136.518,N,1133.19,N,1121,N,1192,N,1192,N,1192,N,1192,N,1200.058,N,1204.884,N,1202.5,N,1196,N,1200,N,1201,N
Brunei Darussalam,Tonnes - live weight,17696.02,A,16194.786,A,15295.003,A,13091.04,A,13690.42,A,13566,N,11864,N,13292,N,3370,N,3186,N,2826,N,4523,E,2154,E,2351,A
Bulgaria,Tonnes - live weight,6703.989,A,5594.378,A,9009.27,A,6295.807,N,10329.65,N,8598.906,N,8559.038,N,8614.223,N,8828.733,N,8687.395,N,9669.933,N,9581.1,N,9623.257,N,10769,N
Burkina Faso,Tonnes - live weight,30278.749,A,30044,E,29731,A,29104,A,27803,A,27299,A,25208,A,21770,A,20750,A,20700,A,20500,A,20300,A,16060,A,14520,E
Burundi,Tonnes - live weight,20120,E,19935,E,19550,E,19589,E,20372,E,20310,E,18999,A,21805,A,20120,A,16054,A,13232,N,12309,N,10654,N,17305,N
Cabo Verde,Tonnes - live weight,8138.314,E,7758.939,E,11623.868,E,19875.373,E,17565.204,N,27136.142,N,18839.68,N,29110.781,N,41240.001,N,35677.683,N,35983.796,N,20943.446,N,23077,N,21412,N
Cambodia,Tonnes - live weight,551950,E,527405.003,E,508050,E,535900,E,601100,E,656105,E,648820,E,629950,E,608405.4,E,625255,E,633163,E,608000,E,536000,E,490000,E
Cameroon,Tonnes - live weight,229331.999,E,224638.999,E,215227.999,E,213374.002,E,297968.828,E,281945,A,261741,N,230360,N,213592,N,207000,N,207000,N,199000,N,190000,N,181000,N
Canada,Tonnes - live weight,680086.641,O,713769.999,O,756966.282,O,774605.016,O,846033.383,O,836844.608,O,855768.134,O,883388.44,O,871148.223,A,884382.504,A,893000.044,A,834404.224,E,939688.327,E,975764,A
Cayman Islands,Tonnes - live weight,125,N,125,N,125,N,125,N,125,N,125,N,125,N,125,N,125,N,125,N,125,N,125,N,125,N,125,N
Central African Republic,Tonnes - live weight,29000,E,29000,E,28000,E,27500,E,29000,E,29000,E,29000,E,29000,E,28000,E,29000,E,30000,E,32000,A,35000,E,35000,E
Chad,Tonnes - live weight,109000,E,107000,E,103000,E,105000,E,107000,E,107000,E,107045,A,110000,A,100000,A,120020,A,120000,A,100000,A,95000,A,91000,A
Chile,Tonnes - live weight,2596488.378,N,2691064.159,N,2391196.59,N,2183235.83,E,2380300.724,N,2371683.401,N,2335016.12,N,1826602.607,N,2131693.059,N,2592748.483,N,2288875.04,N,3007536.309,N,3466956,N,3048316,N
China,Tonnes - live weight,13424705,E,13182662.55,E,13142837,E,13445983,E,14169893.45,E,14831109.11,E,15576685.31,E,16019261.58,N,16647934.69,N,16363366.41,E,15633567.44,E,15446318.15,E,15263615.15,N,15054057,N
"China, Hong Kong SAR",Tonnes - live weight,86578.001,E,77199.998,E,115178.999,E,119428,E,122929,E,124299,E,127554,E,142775,E,145193,E,160789,E,170129,E,155230,E,170720,E,168010,E
"China, Macao SAR",Tonnes - live weight,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N,1500,N
Colombia,Tonnes - live weight,99521.817,E,106240,E,118944.867,E,91922.453,E,112072.552,A,81581,N,88261.5,E,69381,N,81951,N,92879,N,70706,N,72004,E,87491,N,81168,N
Comoros,Tonnes - live weight,13883.302,N,18676.631,N,19202.856,N,20680.516,N,17593.855,N,13772.438,N,17520.848,N,20289.213,N,11762.692,N,9266.399,N,43732.217,N,36295.225,N,38180,N,63447,N
Congo,Tonnes - live weight,60230.103,E,64134.185,A,69419,A,70637.352,A,70349.837,A,98734,A,95035,A,86834,A,69349,A,73536,A,73326,A,81150,A,73233,A,65186,A
Cook Islands,Tonnes - live weight,3941.77,N,6461.594,N,5479.324,N,2651.615,N,5840.641,N,4448.205,N,4142,N,2303,N,5406,N,3814.225,N,3835.2,N,8357.7,N,6688.1,N,10039,N
Costa Rica,Tonnes - live weight,33935,E,33668.683,E,29598.006,E,26679.394,E,17768.968,E,14422.587,E,12498.876,E,11776.618,E,14750,N,14746,N,18558,E,15045,E,13928,E,17916,N
Côte d'Ivoire,Tonnes - live weight,78422.472,E,78618.138,A,66575.07,E,68709.198,E,106114.894,E,109087.039,A,95248.74,N,104552.333,E,98559.918,E,74806.818,E,61346.018,N,52513.206,E,52468,N,48038,N
Croatia,Tonnes - live weight,56198.405,A,63675.669,E,62449.269,E,71676.516,E,64620.402,N,70571.555,N,69974.623,N,73327.102,N,73969.562,N,80369.888,N,75832.335,N,64389.18,N,71396.06,N,52867.3,N
Cuba,Tonnes - live weight,13415.58,E,14534.5,E,18052.8,E,20186.2,E,18546.1,E,22621,E,21548,E,23574,E,25634,E,25056,A,22103,A,22320,A,24106,A,23996,A
Curaçao,Tonnes - live weight,2250.296,E,8851.026,E,25029.279,E,23069.366,E,29234.137,E,37863.48,E,32624.309,E,35534.3,E,30158.82,E,28495.269,E,26196.689,N,25071.897,E,22074,E,,
Cyprus,Tonnes - live weight,1223.843,E,1325.592,E,1405.849,E,1343.647,E,1559.205,E,1490,N,1756,N,1494,N,1488,N,1268,N,1183,N,1323,N,1188,N,1395,N
Czechia,Tonnes - live weight,3369,A,3381,A,3314,A,3729,A,3721,A,3650,A,3557,A,3507,A,3841,A,3812,A,3761,A,4033,A,3859,A,3990,A
Democratic People's Republic of Korea,Tonnes - live weight,208130,E,214320,E,208070,E,202000,E,205200,E,207700,E,208700,E,209000,E,220000,E,226000,E,209000,E,213500,E,219000,E,217500,E
Democratic Republic of the Congo,Tonnes - live weight,261800,E,274385,E,261740,E,249275,E,262390,E,249895,E,238000,E,237372,A,230726,A,229612,A,227414,A,218000,E,221250,E,224491,E
Denmark,Tonnes - live weight,495289.372,N,458396.808,N,466549.075,N,732816,N,638326,N,789170,N,904477,N,670215,N,868986,N,745343,N,668480,N,502790,N,716387,N,828089,A
Djibouti,Tonnes - live weight,3185.8,A,3070.8,A,3088.9,A,2322.5,A,2270.131,N,2102,N,2022,N,2220,N,2012,N,2298,N,1702,N,2167,N,1667,N,1590,N
Dominica,Tonnes - live weight,369,N,290,E,287.97,N,527,N,860.4,A,762,N,784,N,809,N,990,N,1029,N,527,N,625,N,662,N,700,N
Dominican Republic,Tonnes - live weight,17286,E,17985,E,17666.9,A,14064.13,A,16065.998,A,13920.445,A,15724.554,A,14640.693,A,11894.877,A,13783.527,A,13188.562,A,13662.824,A,14005,A,14490,A
Ecuador,Tonnes - live weight,694987.222,E,688924.811,E,863105.301,A,636338.95,E,608160.086,A,597753.6,N,623124,N,709181,N,632571.1,A,656447.6,A,509031,A,501881,E,508793,A,399874,A
Egypt,Tonnes - live weight,448718,E,440197,E,425770,E,418684,E,397043.34,E,373286,E,370959.67,E,335614.335,E,344113,E,344792.08,E,356858.086,E,354237.7,E,375355,E,385210,E
El Salvador,Tonnes - live weight,55759.071,E,60114.992,E,59019.884,E,59674.408,E,51648.695,E,57131.441,E,59600.343,E,58558.09,E,54513,E,63296,E,52147,E,52060,E,54403,A,39583,A
Equatorial Guinea,Tonnes - live weight,7228.452,E,6610.139,E,6307.127,E,5958.271,E,6417.721,E,6407.614,E,6377,E,6455.293,N,6423.256,N,6067.919,E,6926.149,E,7834,E,7115,E,7376,E
Eritrea,Tonnes - live weight,1861.932,A,1657.752,E,1077.716,E,1888.517,E,5872.871,N,6340.674,N,4759.946,N,3357.743,N,6230.82,N,3695.716,N,3616.683,N,3924.353,N,2939,N,3586,N
Estonia,Tonnes - live weight,76695.234,E,73938.728,A,72235.522,A,74142.479,A,86755,N,87051,N,82820,N,75656,N,73195,N,68883,N,69454,N,66613,N,81580,N,95731,N
Eswatini,Tonnes - live weight,65,E,65,E,65,E,60,E,65,E,65,E,65,E,65,E,65,E,65,E,60,E,60,E,60,E,60,E
Ethiopia,Tonnes - live weight,131400,A,101400,A,73140,A,60002,A,59000.892,A,63720.762,A,56001.1,A,50421.245,A,50489,A,50119,A,38371,A,28721,A,24041,A,18058,A
Falkland Islands (Malvinas),Tonnes - live weight,89059,A,113821,A,108944.999,A,64725.574,A,85398.67,A,91829.987,A,67027.401,A,59130.526,A,54296.942,A,71178.475,A,60487.7,N,85943.6,N,66978,N,99560,N
Faroe Islands,Tonnes - live weight,791561.4,E,605910.1,A,540602.9,A,650872.1,A,653119.3,A,660056,N,701892,N,568435,N,585564,N,542836,N,487140,N,360471,N,354956,N,393875,N
Fiji,Tonnes - live weight,32413.43,E,32626.198,E,33009.497,E,37597.123,E,41698.869,E,42729.413,E,47500,E,44826,E,41266,E,43312,N,42639,N,46851,N,46907,N,41943,E
Finland,Tonnes - live weight,128062,N,125395,N,133282,N,148569,N,163917.278,N,175200.386,N,190625,N,192881,N,182865,N,182956,N,167787,N,162321,N,153702,N,156097,N
France,Tonnes - live weight,472221.933,E,530976.483,E,517367.251,E,487937.577,E,533648.726,E,597697.656,N,560874.183,N,562649.534,N,541814.588,N,545818.645,N,538443.369,N,471286.084,N,499052.949,N,450556.5,N
French Guiana,Tonnes - live weight,1831,A,2294,A,2446,A,1833,A,2917,A,2935,A,3064,A,3656,A,3683.007,N,2743.244,N,2485.063,N,2280.85,N,4422.74,N,4339.026,N
French Polynesia,Tonnes - live weight,12818.53,E,11633.983,E,13243.01,E,12180.01,E,13261.04,E,13043.05,E,12396.01,N,12813.623,N,14105.225,N,15277.83,N,14503.888,N,14343.168,N,12801.606,N,13043.733,N
French Southern Territories,Tonnes - live weight,423,N,420,N,420,N,410,N,420,N,420,N,420,N,420,N,400,N,430,N,450,N,480,N,480,N,480,N
Gabon,Tonnes - live weight,29930,E,31010,E,29840,E,28880,E,29000,E,29000,E,29000,E,31000,E,33000,E,36855,E,36600,E,36500,E,36522,E,32692,E
Gambia,Tonnes - live weight,55455,E,53946.5,E,53171.99,E,50989.752,A,56198.663,A,49526,E,60461,A,58261,E,55968,E,51500,E,43726,A,36062,A,41500,E,46624,N
Georgia,Tonnes - live weight,213573,E,200789.377,E,197576.054,E,207150,E,251755.456,E,203523.507,N,137423.372,N,44708.688,N,22520,N,19020,N,15520,N,12070,N,26547,N,46049,N
Germany,Tonnes - live weight,182463.9,A,179721.2,A,187652.267,A,212094.562,A,224394.8,A,279213,A,248237,N,271185,A,261744,A,242743,A,235107,A,214408,N,233883,A,243146,A
Ghana,Tonnes - live weight,384369.83,E,444447.51,E,393160.22,E,357161.51,E,318020.72,E,360007.369,E,368178.76,E,322863.57,E,344325.9,E,323585.173,E,289884.75,E,356346.586,A,349760.31,E,351458.651,E
Gibraltar,Tonnes - live weight,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E,1,E
Greece,Tonnes - live weight,62986.321,E,65494.798,E,59631.873,E,71476.001,E,83173.701,E,77716.2,E,78315.3,E,75534.5,E,65356.82,E,61260.7,E,64169.778,E,61044.2,E,63246.5,E,70179.8,N
Greenland,Tonnes - live weight,334866.648,A,307056,A,271028,A,259209,A,265179,N,301052,N,310741,N,273175,N,268371,N,292441,N,275432,N,222894,N,214493,N,209446,N
Grenada,Tonnes - live weight,3620.985,N,1951.192,N,1315.066,N,1894.355,N,2062.276,N,2557.823,N,2460.309,N,2749.471,N,2485.918,N,1951.606,N,2853.665,N,2376.633,N,2410.465,N,2182,N
Guadeloupe,Tonnes - live weight,2027,A,2329,A,2430,A,2578,A,2993,A,2745.317,A,3258.637,A,3272.963,A,3362.644,A,3113.062,A,3530.352,N,3433.073,N,4307.921,N,3663.537,N
Guam,Tonnes - live weight,61.241,A,36.92,N,26.577,A,47.065,N,90.477,N,94.807,N,152.457,N,69.763,N,71.247,N,86.858,N,108.642,N,101.486,N,120.505,N,167.785,N
Guatemala,Tonnes - live weight,14010.085,E,17654.35,E,13251.054,E,14808.762,E,18330.569,E,18485.374,E,20469.955,E,17783.012,E,18337.893,E,19173.3,E,17686.4,E,15291.252,E,19844.498,E,22332,E
Guernsey,Tonnes - live weight,1105,E,1224,E,1169.7,A,1081.226,N,1184.5,N,1194.9,N,1250.95,N,1367,N,1370.6,N,1521.9,N,1310.6,N,1455.118,N,1482.2,N,1550,N
Guinea,Tonnes - live weight,414207,A,377833,E,448531,E,384942,E,359837,A,293007,E,321169,E,159402,E,184652,E,207348,E,230049,N,198282,N,184962,E,113504,N
Guinea-Bissau,Tonnes - live weight,65040,E,63835,E,63221,E,62392.458,E,60150,E,52253.645,E,38350,E,28450,E,21150,E,15750,E,11750,E,8750,E,6549,E,6584,E
Guyana,Tonnes - live weight,36396,E,36253.455,A,34216.25,A,39986.9,A,39087,A,41388,A,42977,A,42142,A,36558,A,37746,A,49268,A,53844,A,43185,A,45188,A
Haiti,Tonnes - live weight,16420,E,16710,E,16220,E,16350,E,16350,E,16350,E,16510,E,16510,E,16510,E,16510,E,16510,E,16510,E,16530,E,13710,E
Honduras,Tonnes - live weight,20300,E,20193,E,21680,A,15846,E,11947,A,12123,E,11652,E,13074,E,12841,E,9574,E,12809,E,11202,E,10214,E,12075,E
Hungary,Tonnes - live weight,4601.538,A,4596.812,A,4600.536,N,5483.12,N,4836,N,5249,N,5636,A,5091,A,5926,A,7463,A,6472,A,6717,A,7048,A,6216,A
Iceland,Tonnes - live weight,1371097.62,A,1662876.542,A,1171229.402,A,1039086.2,A,1066888,A,1279500,A,1203786,N,1092966,N,1347485,N,1095508,N,1380229,N,1466751,N,1164914,A,1081655,A
India,Tonnes - live weight,6177985.324,E,5539024.996,E,5024905.002,E,4658197,E,5477099.997,E,5336182.999,E,5550953.001,E,5196946.024,E,4862038.515,E,4999493.433,E,4665438.457,E,4895142.409,E,4336113.999,E,4715816,E
Indonesia,Tonnes - live weight,7817805.911,E,7426447.352,E,7168480.497,E,6921979.492,E,7281357.102,E,7308191.32,E,6968527.543,E,6521828.865,E,6660128.795,E,6483292.806,A,6140627.121,N,5862058.363,N,5757601,A,5388290,N
Iran (Islamic Republic of),Tonnes - live weight,764512,E,803802.294,E,779465.744,E,790900.043,E,824550.001,E,828393.655,E,781936.149,E,688903.542,E,630623.271,E,619319.865,N,553337.714,N,537978.271,E,488793.461,A,443650,A
Iraq,Tonnes - live weight,42144.464,A,44550,E,43679.679,E,34770.171,A,40069,A,36936,A,35220,A,31300,A,27296,A,59000,A,56853,A,51077,A,31541,A,19348,A
Ireland,Tonnes - live weight,215134.328,E,203538.766,E,234158.918,E,208502.064,E,238443.651,N,251240.955,N,276329.842,E,259855.358,N,265370.535,N,306423.736,N,275949.827,N,305426.855,N,243454.943,N,348441,N
Isle of Man,Tonnes - live weight,2946,E,3041,E,3041.323,A,2742.95,A,2939,N,4431,N,6759,N,7040,N,7781,N,3755,N,5745,N,6172,N,6844,N,4814,N
Israel,Tonnes - live weight,2135,E,2100,E,2100,E,2000,E,1000,E,1000,E,1415,E,1588,N,2097,N,2042,N,1983,N,3224,A,2575,A,2612,A
Italy,Tonnes - live weight,128311.143,E,143770.194,E,150775.767,E,141587.688,E,186087.702,E,206103.261,N,197173.14,N,197099.502,E,198769.76,E,183451.417,N,177915.511,E,202430.399,E,217829.701,E,234960.5,N
Jamaica,Tonnes - live weight,12529,E,12529.49,E,13231,A,12874.92,A,13475,A,15346,A,19267,E,17307,A,17025,A,15204,A,18349,E,15383,E,17998,E,15390,E
Japan,Tonnes - live weight,2903654.025,E,2978037.5,E,3239138.574,E,3267706.265,E,3261664.496,E,3381092.367,E,3276568.488,E,3296035.296,E,3500278.555,N,3735077.959,A,3737616.397,N,3756439.801,N,3873951.421,N,4188376.309,N
Jersey,Tonnes - live weight,960,N,1066,E,1017.812,N,991.852,A,1864.836,N,2003.764,N,1478.1,N,1617,N,1200.597,N,1460.56,N,1536.6,N,1499.5,N,1492.3,N,1823.46,N
Jordan,Tonnes - live weight,655,E,675,E,665,E,583.945,E,678.738,E,664.86,E,634.45,E,601.128,E,604.323,E,646.169,E,542.252,E,606.518,E,500,E,486,A
Kazakhstan,Tonnes - live weight,35815.942,A,42691.9,A,41457.33,A,42597.376,A,45644.602,A,37283.141,A,41319.995,A,41334.543,N,40461,N,37137,A,34692,A,36939,A,34896,A,46827,A
Kenya,Tonnes - live weight,129544.441,E,145801.459,E,141296.884,E,130165.337,E,131288.084,E,136723.325,E,154889.156,E,135106.199,E,165152,E,169169.1,E,163133,A,158743,A,181450,A,140607,N
Kiribati,Tonnes - live weight,239181.16,N,203294.048,N,191130.548,N,212754.294,N,238699.33,N,197904.529,N,162549,N,174273,N,145976,N,116963,N,81409.018,N,77531.662,N,62907.026,N,43116,N
Kuwait,Tonnes - live weight,2808,A,1886,A,3525,E,3095,E,3016,N,2871,N,3978,N,5187,N,3859,N,3840,N,4307,N,3686,N,4038,N,6373,N
Kyrgyzstan,Tonnes - live weight,,,31,A,22,E,20,E,20,E,19,A,90,E,89,A,31,N,227,A,120,E,90,E,60,E,27,A
Lao People's Democratic Republic,Tonnes - live weight,73150,E,72420,E,71000,E,70001,E,64701,E,60508,E,59069,E,57400,E,62635,E,60237,E,38946,E,34106,E,34000,E,30900,A
Latvia,Tonnes - live weight,66837.61,N,61508,N,61658.11,N,64989,N,71385,N,73144,N,69411.6,N,114278,N,81340,A,119536,N,116029,N,94404,N,154310,N,164819,N
Lebanon,Tonnes - live weight,2630,E,2620,E,2580,E,2455,E,2619.8,A,2796,N,3617,N,4291,N,3638,N,2998,N,3100,E,3200,E,3300,E,3400,E
Lesotho,Tonnes - live weight,,,79,E,75,E,67,E,57,E,52,E,52,E,52,E,52,E,52,A,50,A,50,A,45,A,45,A
Liberia,Tonnes - live weight,28172.193,E,29338,E,25169.139,E,31661.669,E,16134.015,E,14122.299,N,11972.09,E,13718.106,E,14009.216,E,14432.186,N,15090.979,N,14028.693,N,13421.046,N,11700,N
Libya,Tonnes - live weight,32130,E,32585,E,31951.333,E,31803.545,E,32335,E,32144.06,E,31873.99,E,29919.389,E,25730,E,24633,E,35504,E,34654,N,30004,N,50006,N
Liechtenstein,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
Lithuania,Tonnes - live weight,102405.414,A,106936.012,A,96152.482,A,90991.355,A,102219.9,A,75019.24,N,89770,N,106945,A,85144,A,150067,N,90871,N,66970,N,138557,N,149851,N
Luxembourg,Tonnes - live weight,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
