date,WFH_share,Source_historical_series,fullremote_hist,Source_fullremote_hist,Notes,License,Citation
1/1/65,0.4,AHTUS,,,,"Copyright 2024 by Jose Maria Barrero, Nicholas Bloom, and Steven J. Davis. The data in this .xlsx file are made available under the CC-BY 4.0 license https://creativecommons.org/licenses/by/4.0/"," When using this work, please cite: Barrero, Jose Maria, Nicholas Bloom, and Steven J. Davis, 2021. ""Why working from home will stick,"" National Bureau of Economic Research Working Paper 28731.   "
1/1/75,0.6,AHTUS,,,,,
1/1/85,4.8,AHTUS,,,,,
1/1/93,2.5,AHTUS,,,,,
1/1/95,2.2,AHTUS,,,,,
1/1/98,2.9,AHTUS,,,,,
1/1/03,3.0,ATUS,1.8,ACS,,,
1/1/04,4.1,ATUS,2.1,ACS,,,
1/1/05,3.4,ATUS,2.0,ACS,,,
1/1/06,3.5,ATUS,2.3,ACS,,,
1/1/07,4.0,ATUS,2.5,ACS,,,
1/1/08,4.5,ATUS,2.6,ACS,,,
1/1/09,6.4,ATUS,2.8,ACS,,,
1/1/10,5.4,ATUS,2.8,ACS,,,
1/1/11,4.6,ATUS,3.0,ACS,,,
1/1/12,5.7,ATUS,3.1,ACS,,,
1/1/13,5.4,ATUS,3.2,ACS,,,
1/1/14,6.4,ATUS,3.3,ACS,,,
1/1/15,6.8,ATUS,3.5,ACS,,,
1/1/16,5.9,ATUS,3.9,ACS,,,
1/1/17,6.9,ATUS,4.1,ACS,,,
1/1/18,5.3,ATUS,4.2,ACS,,,
1/1/19,7.2,ATUS,4.7,ACS,,,
5/1/20,61.5,SWAA,,,,,
7/1/20,51.1,SWAA,,,,,
8/1/20,48.3,SWAA,,,,,
9/1/20,44.3,SWAA,,,,,
10/1/20,43.3,SWAA,,,,,
11/1/20,38.8,SWAA,,,,,
12/1/20,37.0,SWAA,,,,,
1/1/21,36.9,SWAA,,,,,
2/1/21,34.1,SWAA,,,,,
3/1/21,34.7,SWAA,,,,,
4/1/21,34.9,SWAA,,,,,
5/1/21,32.9,SWAA,,,,,
6/1/21,32.8,SWAA,,,,,
7/1/21,33.6,SWAA,,,,,
8/1/21,32.0,SWAA,,,,,
9/1/21,32.5,SWAA,,,,,
10/1/21,32.3,SWAA,,,,,
11/1/21,33.1,SWAA,,,,,
12/1/21,33.3,SWAA,,,,,
1/1/22,32.4,SWAA,,,,,
2/1/22,31.1,SWAA,,,,,
3/1/22,31.1,SWAA,,,,,
4/1/22,29.6,SWAA,,,,,
5/1/22,31.5,SWAA,,,,,
6/1/22,31.6,SWAA,,,,,
7/1/22,30.7,SWAA,,,,,
8/1/22,29.5,SWAA,,,,,
9/1/22,29.1,SWAA,,,,,
10/1/22,29.4,SWAA,,,,,
11/1/22,28.9,SWAA,,,,,
12/1/22,29.3,SWAA,,,,,
1/1/23,27.2,SWAA,,,,,
2/1/23,27.7,SWAA,,,,,
3/1/23,28.7,SWAA,,,,,
4/1/23,28.4,SWAA,,,,,
5/1/23,28.2,SWAA,,,,,
6/1/23,28.2,SWAA,,,,,
7/1/23,30.8,SWAA,,,,,
8/1/23,30.7,SWAA,,,,,
9/1/23,29.4,SWAA,,,The September 2023 SWAA estimate averages the values for August and October due to data quality issues with the September 2023 survey wave.,,
10/1/23,28.0,SWAA,,,,,
11/1/23,28.6,SWAA,,,,,
12/1/23,29.5,SWAA,,,,,
1/1/24,28.9,SWAA,,,,,
2/1/24,27.8,SWAA,,,,,
3/1/24,27.5,SWAA,,,,,
4/1/24,27.1,SWAA,,,,,
5/1/24,26.6,SWAA,,,,,
6/1/24,28.6,SWAA,,,,,
7/1/24,29.5,SWAA,,,,,
8/1/24,27.5,SWAA,,,,,
9/1/24,27.7,SWAA,,,,,
10/1/24,26.4,SWAA,,,,,
11/1/24,26.8,SWAA,,,,,
