STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2001,,651286,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2006,,678407,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2007,,682732,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2008,,675550,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2002,,659688,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2003,,658411,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2004,,666784,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2020,,738483,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2021,,745114,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2005,,671661,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2009,,668035,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2010,,670576,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2011,,673221,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2012,,669319,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2013,,669895,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2014,,674718,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,OECD,OECD,A,Annual,MUNICIPAL,Total waste generated,T,Tonnes,2015,,682495,,E,Estimated value,,,,,,,3,Thousands,1,One,,,,,,
