Date,Tankers,Dry bulk and general cargo,Container,Other
Jan-12,174883214,192184500,194569938,122789755
Feb-12,178995072,190580718,185984717,126991192
Mar-12,178294267,194413341,190893360,128936354
Apr-12,179561627,203741472,196728037,131011694
May-12,175841685,207980162,198677953,129612770
Jun-12,174317101,204467362,200633360,132232827
Jul-12,175491030,206801274,201432469,134072275
Aug-12,175200605,199377883,199755939,132688450
Sep-12,175074435,201363670,200909603,131218198
Oct-12,171852854,202152226,191541981,131036384
Nov-12,173111648,201546135,190488555,133134087
Dec-12,174953763,198513899,187224642,130707422
Jan-13,174164722,194192485,190057322,129084020
Feb-13,171960738,195753985,186069953,130355451
Mar-13,171386910,193848317,183680120,132025402
Apr-13,169092041,196919433,187082594,131409462
May-13,171138150,202373103,194150753,134395946
Jun-13,172855060,202666360,196686582,136262835
Jul-13,173663889,202623673,199951444,138316513
Aug-13,174459414,202393482,199299884,136148471
Sep-13,172154245,206317907,197018509,135765098
Oct-13,168553350,204925371,190874600,133991865
Nov-13,169610426,206644047,190258030,135342299
Dec-13,173373032,202873208,187711744,133416820
Jan-14,176930834,202278223,188435148,131568946
Feb-14,172953792,199563054,183512201,133491476
Mar-14,174802729,203891744,187281936,136049349
Apr-14,172455521,205437005,192090003,137761014
May-14,170024936,205404299,192423920,137122733
Jun-14,169223329,204107981,194589187,137535699
Jul-14,169615822,201046319,194871327,138329594
Aug-14,171312413,201007098,196082421,137485792
Sep-14,169871768,204575389,195107022,137342883
Oct-14,169975695,199901274,190727189,137147158
Nov-14,173095291,206631438,188687265,138308163
Dec-14,175518957,199568812,187475450,136896131
Jan-15,177217428,195041693,188045655,135388882
Feb-15,179536923,200767204,187945197,137622756
Mar-15,181859948,202397243,189405589,140442340
Apr-15,180902486,207536124,196224244,142716343
May-15,182427309,207234029,198905958,142414828
Jun-15,181858804,205582967,199661293,143680797
Jul-15,183750705,205171322,201501555,145039698
Aug-15,183992310,212452849,203965809,143751286
Sep-15,180793878,215142910,201147254,144447740
Oct-15,182457902,211061919,196600772,144658699
Nov-15,183214932,209782762,195666537,144866861
Dec-15,185468361,208089834,195893284,143259171
Jan-16,188623050,206283479,196785083,141836633
Feb-16,189905377,205119711,200652333,143473480
Mar-16,190789715,213023533,197732103,146209512
Apr-16,191843222,219541902,202797885,148240108
May-16,189894571,218816735,205575460,147230768
Jun-16,192520101,215361782,206169958,149343341
Jul-16,189787776,212890265,206271240,150714168
Aug-16,188392867,213606572,206565682,147870426
Sep-16,189348323,213170355,200370185,146782863
Oct-16,191756613,212244563,198755015,147493457
Nov-16,193236347,214307064,201658989,147982718
Dec-16,194564908,215410986,201047242,147203638
