Economy_Label,CargoType_Label,1970_Metric_tons_in_millions_Value,1970_Metric_tons_Footnote,1970_Metric_tons_MissingValue,1971_Metric_tons_in_millions_Value,1971_Metric_tons_Footnote,1971_Metric_tons_MissingValue,1972_Metric_tons_in_millions_Value,1972_Metric_tons_Footnote,1972_Metric_tons_MissingValue,1973_Metric_tons_in_millions_Value,1973_Metric_tons_Footnote,1973_Metric_tons_MissingValue,1974_Metric_tons_in_millions_Value,1974_Metric_tons_Footnote,1974_Metric_tons_MissingValue,1975_Metric_tons_in_millions_Value,1975_Metric_tons_Footnote,1975_Metric_tons_MissingValue,1976_Metric_tons_in_millions_Value,1976_Metric_tons_Footnote,1976_Metric_tons_MissingValue,1977_Metric_tons_in_millions_Value,1977_Metric_tons_Footnote,1977_Metric_tons_MissingValue,1978_Metric_tons_in_millions_Value,1978_Metric_tons_Footnote,1978_Metric_tons_MissingValue,1979_Metric_tons_in_millions_Value,1979_Metric_tons_Footnote,1979_Metric_tons_MissingValue,1980_Metric_tons_in_millions_Value,1980_Metric_tons_Footnote,1980_Metric_tons_MissingValue,1981_Metric_tons_in_millions_Value,1981_Metric_tons_Footnote,1981_Metric_tons_MissingValue,1982_Metric_tons_in_millions_Value,1982_Metric_tons_Footnote,1982_Metric_tons_MissingValue,1983_Metric_tons_in_millions_Value,1983_Metric_tons_Footnote,1983_Metric_tons_MissingValue,1984_Metric_tons_in_millions_Value,1984_Metric_tons_Footnote,1984_Metric_tons_MissingValue,1985_Metric_tons_in_millions_Value,1985_Metric_tons_Footnote,1985_Metric_tons_MissingValue,1986_Metric_tons_in_millions_Value,1986_Metric_tons_Footnote,1986_Metric_tons_MissingValue,1987_Metric_tons_in_millions_Value,1987_Metric_tons_Footnote,1987_Metric_tons_MissingValue,1988_Metric_tons_in_millions_Value,1988_Metric_tons_Footnote,1988_Metric_tons_MissingValue,1989_Metric_tons_in_millions_Value,1989_Metric_tons_Footnote,1989_Metric_tons_MissingValue,1990_Metric_tons_in_millions_Value,1990_Metric_tons_Footnote,1990_Metric_tons_MissingValue,1991_Metric_tons_in_millions_Value,1991_Metric_tons_Footnote,1991_Metric_tons_MissingValue,1992_Metric_tons_in_millions_Value,1992_Metric_tons_Footnote,1992_Metric_tons_MissingValue,1993_Metric_tons_in_millions_Value,1993_Metric_tons_Footnote,1993_Metric_tons_MissingValue,1994_Metric_tons_in_millions_Value,1994_Metric_tons_Footnote,1994_Metric_tons_MissingValue,1995_Metric_tons_in_millions_Value,1995_Metric_tons_Footnote,1995_Metric_tons_MissingValue,1996_Metric_tons_in_millions_Value,1996_Metric_tons_Footnote,1996_Metric_tons_MissingValue,1997_Metric_tons_in_millions_Value,1997_Metric_tons_Footnote,1997_Metric_tons_MissingValue,1998_Metric_tons_in_millions_Value,1998_Metric_tons_Footnote,1998_Metric_tons_MissingValue,1999_Metric_tons_in_millions_Value,1999_Metric_tons_Footnote,1999_Metric_tons_MissingValue,2000_Metric_tons_in_millions_Value,2000_Metric_tons_Footnote,2000_Metric_tons_MissingValue,2001_Metric_tons_in_millions_Value,2001_Metric_tons_Footnote,2001_Metric_tons_MissingValue,2002_Metric_tons_in_millions_Value,2002_Metric_tons_Footnote,2002_Metric_tons_MissingValue,2003_Metric_tons_in_millions_Value,2003_Metric_tons_Footnote,2003_Metric_tons_MissingValue,2004_Metric_tons_in_millions_Value,2004_Metric_tons_Footnote,2004_Metric_tons_MissingValue,2005_Metric_tons_in_millions_Value,2005_Metric_tons_Footnote,2005_Metric_tons_MissingValue,2006_Metric_tons_in_millions_Value,2006_Metric_tons_Footnote,2006_Metric_tons_MissingValue,2007_Metric_tons_in_millions_Value,2007_Metric_tons_Footnote,2007_Metric_tons_MissingValue,2008_Metric_tons_in_millions_Value,2008_Metric_tons_Footnote,2008_Metric_tons_MissingValue,2009_Metric_tons_in_millions_Value,2009_Metric_tons_Footnote,2009_Metric_tons_MissingValue,2010_Metric_tons_in_millions_Value,2010_Metric_tons_Footnote,2010_Metric_tons_MissingValue,2011_Metric_tons_in_millions_Value,2011_Metric_tons_Footnote,2011_Metric_tons_MissingValue,2012_Metric_tons_in_millions_Value,2012_Metric_tons_Footnote,2012_Metric_tons_MissingValue,2013_Metric_tons_in_millions_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_millions_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_millions_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_millions_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_millions_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_millions_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_millions_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_millions_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_millions_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue
World,Crude oil loaded,1207,,,1210,,,1321,,,1514,,,1497,,,1364,,,1555,,,1599,,,1604,,,1725,,,1527,,,1364,,,1163,,,1069,,,1079,,,1049,,,1126,,,1107,,,1160,,,1260,,,1287,,,1333,,,1394,,,1443,,,1498,,,1532,,,1590,,,1626,,,1548,,,1553,,,1605,,,1678,,,1637,,,1690,,,1770,,,1857,,,1783,,,1814,,,1785,,,1710,,,1785,,,1751,,,1785,,,1738,,,1712,,,1761,,,1832,,,1875,,,1881,,,1860,,,1715,,,1700,,
World,Other tanker trade loaded,233,,,320,,,332,,,353,,,335,,,280,,,289,,,293,,,296,,,318,,,344,,,327,,,350,,,392,,,399,,,410,,,424,,,441,,,456,,,468,,,468,,,457,,,466,,,502,,,509,,,518,,,537,,,546,,,534,,,532,,,558,,,499,,,509,,,533,,,546,,,565,,,915,,,934,,,957,,,931,,,968,,,1028,,,1055,,,1091,,,1121,,,1178,,,1238,,,1279,,,1320,,,1303,,,1203,,,1252,,
World,Dry cargo loaded,1165,,,1162,,,1221,,,1407,,,1472,,,1428,,,1522,,,1576,,,1650,,,1785,,,1833,,,1864,,,1760,,,1770,,,1886,,,1895,,,1835,,,1987,,,2119,,,2212,,,2253,,,2330,,,2360,,,2385,,,2478,,,2601,,,2631,,,2781,,,3549,,,3598,,,3821,,,3844,,,3981,,,4257,,,4442,,,4687,,,5004,,,5289,,,5486,,,5177,,,5649,,,5959,,,6357,,,6625,,,6983,,,7074,,,7176,,,7560,,,7818,,,7908,,,7727,,,8033,,
World,Total goods loaded,2605,,,2692,,,2874,,,3274,,,3304,,,3072,,,3366,,,3468,,,3550,,,3828,,,3704,,,3555,,,3273,,,3231,,,3364,,,3330,,,3385,,,3505,,,3735,,,3940,,,4008,,,4120,,,4220,,,4330,,,4485,,,4651,,,4758,,,4953,,,5631,,,5683,,,5984,,,6020,,,6127,,,6480,,,6758,,,7109,,,7702,,,8036,,,8228,,,7818,,,8401,,,8739,,,9197,,,9453,,,9816,,,10013,,,10247,,,10714,,,11019,,,11071,,,10645,,,10985,,
World,Crude oil discharged,1101,,,1199,,,1325,,,1521,,,1470,,,1373,,,1522,,,1585,,,1634,,,1724,,,1530,,,1363,,,1283,,,1133,,,1166,,,1128,,,1220,,,1110,,,1194,,,1300,,,1315,,,1355,,,1414,,,1465,,,1508,,,1550,,,1599,,,1625,,,1515,,,1543,,,1633,,,1712,,,1696,,,1743,,,1773,,,1854,,,1940,,,1996,,,1943,,,1875,,,1939,,,1897,,,1930,,,1882,,,1850,,,1910,,,1985,,,2033,,,2049,,,2023,,,1864,,,1846,,
World,Other tanker trade discharged,298,,,300,,,316,,,339,,,312,,,287,,,312,,,321,,,321,,,308,,,326,,,310,,,330,,,349,,,371,,,367,,,390,,,408,,,422,,,433,,,466,,,441,,,451,,,480,,,490,,,508,,,480,,,522,,,548,,,510,,,513,,,534,,,540,,,536,,,545,,,573,,,897,,,902,,,933,,,923,,,971,,,1039,,,1056,,,1091,,,1088,,,1175,,,1235,,,1288,,,1339,,,1320,,,1224,,,1273,,
World,Dry cargo discharged,1131,,,1134,,,1217,,,1377,,,1472,,,1395,,,1518,,,1536,,,1570,,,1782,,,1823,,,1838,,,1780,,,1830,,,1928,,,1938,,,1860,,,2120,,,2248,,,2337,,,2365,,,2449,,,2480,,,2477,,,2575,,,2685,,,2734,,,2890,,,3855,,,3955,,,4097,,,3954,,,4099,,,4324,,,4469,,,4696,,,5066,,,5165,,,5419,,,5044,,,5454,,,5766,,,6129,,,6511,,,6782,,,6879,,,7083,,,7366,,,7629,,,7712,,,7546,,,7856,,
World,Total goods discharged,2529,,,2632,,,2858,,,3237,,,3254,,,3055,,,3352,,,3442,,,3525,,,3814,,,3679,,,3512,,,3393,,,3312,,,3465,,,3433,,,3470,,,3628,,,3866,,,4070,,,4126,,,4245,,,4345,,,4422,,,4573,,,4743,,,4815,,,5037,,,5918,,,6007,,,6242,,,6201,,,6335,,,6603,,,6787,,,7122,,,7903,,,8063,,,8295,,,7841,,,8364,,,8702,,,9115,,,9483,,,9720,,,9965,,,10303,,,10687,,,11017,,,11055,,,10634,,,10975,,
Africa,Crude oil loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,363,,,379,,,354,,,344,,,338,,,364,,,328,,,304,,,294,,,271,,,291,,,297,,,303,,,235,,,226,,
Africa,Other tanker trade loaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,82,,,83,,,83,,,82,,,69,,,70,,,82,,,74,,,58,,,59,,,70,,,70,,,92,,,84,,,100,,
