Year,paid_fishing_license_holders
2024,31007928
2023,32242999
2022,30258567
2021,29243078
2020,29286854
2019,29653698
2018,29762221
2017,29400950
2016,29037992
2015,28463499
2014,27928942
2013,27947598
2012,29323585
2011,28396914
2010,28390641
2009,28138820
2008,28128889
2007,28199068
2006,28466875
2005,27908272
2004,28859584
2003,29461346
2002,29586285
2001,29713123
2000,29334947
1999,29188537
1998,29839850
1997,30510896
1996,30243450
1995,30197217
1994,30623765
1993,30754275
1992,30741198
1991,30191251
1990,31478490
1989,30346114
1988,30359462
1987,29776079
1986,28776490
1985,29130543
1984,29511854
1983,29234772
1982,27994917
1981,27947397
1980,26169156
1979,27327459
1978,27818484
1977,27510493
1976,27079305
1975,26213759
1974,26016002
1973,25747478
1972,23059686
1971,24076148
1970,23012656
1969,22021287
1968,21331130
1967,20496517
