Year,cement_production_thousand_metric_tons
1990,1149369
1991,1184530
1992,1241217
1993,1303360
1994,1370000
1995,1444000
1996,1493000
1997,1540000
1998,1540000
1999,1600000
2000,1650000
2001,1730000
2002,1800000
2003,2030000
2004,2190000
2005,2350000
2006,2620000
2007,2810000
2008,2850000
2009,3030000
2010,3280000
2011,3630000
2012,3820000
2013,4030000
2014,4150000
2015,4060000
2016,4140000
2017,4120000
2018,4060000
2019,4200000
2020,4220000
2021,4350000
2022,4140000
2023,4100000
2024,4000000
